Area,Temperature Change
Serbia,1.5219404761904762
Luxembourg,1.4946916666666668
Montenegro,1.4930416666666666
Estonia,1.4622470238095238
Slovenia,1.434407738095238
Belgium,1.429325
Belarus,1.4129196428571429
Russian Federation,1.4116488095238096
Latvia,1.4098601190476192
Lithuania,1.3664494047619047
Czechia,1.3419938271604939
Croatia,1.2631964285714286
Kazakhstan,1.2388244047619048
Sudan,1.2234629629629632
South Sudan,1.2206851851851852
Slovakia,1.2131975308641976
Turkmenistan,1.1953511904761904
Central Asia,1.192949404761905
Bosnia and Herzegovina,1.1901755952380952
Ukraine,1.1833869047619048
Uzbekistan,1.0956726190476191
Azerbaijan,1.094125
Armenia,1.0791934523809523
Republic of Moldova,1.0645119047619047
Kyrgyzstan,1.0239791666666667
Eritrea,1.019569536423841
Ethiopia,0.9908981481481481
North Macedonia,0.9639047619047619
Georgia,0.93925
Mongolia,0.8591525423728813
Svalbard and Jan Mayen Islands,0.8517598870056498
Tajikistan,0.8495833333333332
Gambia,0.8248799435028248
Morocco,0.807774011299435
Guinea-Bissau,0.805045197740113
Tunisia,0.7983700564971751
Mauritania,0.7658262711864408
Eastern Europe,0.7596186440677966
Austria,0.7512994350282485
Cabo Verde,0.7508440366972478
Senegal,0.7429985875706214
Liechtenstein,0.7368954802259887
Western Sahara,0.7363319209039547
Europe,0.7342132768361581
Finland,0.7234505649717514
Kuwait,0.7207471751412429
"Saint Helena, Ascension and Tristan da Cunha",0.7194731638418079
Switzerland,0.7187203389830509
Algeria,0.7160621468926553
Bahrain,0.7035677966101694
Germany,0.7003728813559321
Andorra,0.6998531073446328
Western Europe,0.6842302259887005
Sweden,0.6795805084745762
Netherlands,0.6729293785310734
France,0.6624618644067797
Poland,0.6608686440677966
Serbia and Montenegro,0.6582380952380953
Denmark,0.6533997175141243
Monaco,0.6396468926553672
Gibraltar,0.6375564971751412
Spain,0.6238276836158192
European Union,0.6220197740112994
Somalia,0.6151202263083451
Portugal,0.6147175141242939
Hungary,0.614385593220339
Iran (Islamic Republic of),0.6136977401129944
Qatar,0.613590395480226
Annex I countries,0.6044661016949152
Canada,0.603680790960452
Jamaica,0.6029525925925926
Northern Europe,0.6017358757062147
Norway,0.5989463276836158
San Marino,0.5987189265536723
Western Africa,0.597045197740113
Mali,0.5917824858757061
Turks and Caicos Islands,0.5916416539050535
Guinea,0.5912528248587571
Italy,0.5861850282485875
Malta,0.5805084745762712
Southern Europe,0.5723361581920904
Palau,0.5715800711743773
Haiti,0.5715593220338983
Eastern Asia,0.5648248587570621
Land Locked Developing Countries,0.5589378531073447
Suriname,0.5535790960451977
Brazil,0.5517485875706214
Sierra Leone,0.5511416184971099
Nigeria,0.5511059322033898
Northern Africa,0.5485720338983051
Democratic People's Republic of Korea,0.5464279661016949
Niger,0.5428008474576271
Dominican Republic,0.538590395480226
Channel Islands,0.5358742937853107
Togo,0.5352485875706215
French Guiana,0.5317994350282486
Djibouti,0.5295066666666667
"China, mainland",0.5293771186440678
Benin,0.5286652542372882
China,0.5285042372881356
World,0.5253135593220339
Northern America,0.5248305084745762
Côte d'Ivoire,0.5216850282485875
Liberia,0.5210871428571429
Ghana,0.5092655367231639
Holy See,0.5075762711864408
Iraq,0.5043799435028249
Belize,0.5019901129943503
Burkina Faso,0.5015155367231638
Guyana,0.49856152758132954
OECD,0.4968135593220339
Romania,0.4953785310734463
Caribbean,0.49313841807909603
Sri Lanka,0.49297740112994354
Africa,0.4921468926553672
Albania,0.48503531073446327
Americas,0.48503248587570624
Tonga,0.48485593220338985
Net Food Importing Developing Countries,0.4805833333333333
Cuba,0.4800480225988701
Peru,0.47931920903954806
Asia,0.47481920903954805
Uganda,0.4736200564971751
Saudi Arabia,0.4728827683615819
Least Developed Countries,0.47253248587570623
Non-Annex I countries,0.4684689265536723
Honduras,0.46634180790960456
Kenya,0.46414265536723165
Trinidad and Tobago,0.46385866261398173
Cayman Islands,0.46339837398373984
Guatemala,0.4609124293785311
Bolivia (Plurinational State of),0.458997175141243
Namibia,0.45858615819209037
South America,0.45444067796610166
South Africa,0.4540395480225988
Chad,0.45296327683615817
Lesotho,0.4526002824858757
Zambia,0.45129278642149934
Samoa,0.449592867756315
Bulgaria,0.4494703389830509
United States of America,0.4493983050847457
Western Asia,0.44847033898305083
Mayotte,0.4481624815361891
Eastern Africa,0.44776977401129947
El Salvador,0.4475918079096045
Ecuador,0.44518926553672317
Malawi,0.4442962962962963
Small Island Developing States,0.44065677966101696
Australia,0.43804802259887005
Low Income Food Deficit Countries,0.43703389830508477
Cameroon,0.436680790960452
Southern Africa,0.4363983050847457
Afghanistan,0.4360367231638418
Nicaragua,0.4359830508474576
Australia and New Zealand,0.4323912429378531
American Samoa,0.43210468750000003
Lao People's Democratic Republic,0.43113135593220336
Malaysia,0.4293008474576271
Libya,0.4288333333333333
Syrian Arab Republic,0.42880932203389827
Bahamas,0.4283079096045198
Central African Republic,0.4271262411347518
Comoros,0.4269753623188406
Maldives,0.4264486571879937
Fiji,0.4263262711864407
Oceania,0.42603389830508476
Venezuela (Bolivarian Republic of),0.42539406779661015
Solomon Islands,0.4248945736434109
Aruba,0.42372741194486985
Réunion,0.4203160173160173
United Republic of Tanzania,0.4177768361581921
Paraguay,0.41702966101694916
Philippines,0.41618502824858755
United Kingdom,0.41565536723163843
Angola,0.4146709039548022
Seychelles,0.40729943502824856
Vanuatu,0.4064514285714286
Thailand,0.40355790960451976
Wallis and Futuna Islands,0.4026271186440678
Timor-Leste,0.40058288770053474
Equatorial Guinea,0.39855976676384836
Eswatini,0.39750426136363637
Turkey,0.3960790960451977
Middle Africa,0.39601553672316386
Christmas Island,0.39593634496919916
Sao Tome and Principe,0.3951769230769231
Republic of Korea,0.39484887005649716
Isle of Man,0.3922810734463277
Ireland,0.39028813559322034
Polynesia,0.3895437853107345
Lebanon,0.3887528248587571
Brunei Darussalam,0.3857090395480226
Myanmar,0.38566384180790964
Central America,0.38217090395480224
Cambodia,0.38033757062146895
Panama,0.37847655068078667
Greenland,0.3783629943502824
Faroe Islands,0.37310169491525425
Netherlands Antilles (former),0.3715536723163842
Viet Nam,0.37092514124293785
Mexico,0.3706271186440678
Botswana,0.3683022598870056
Madagascar,0.36821306818181815
Sudan (former),0.3628816666666667
Colombia,0.3621002824858757
Cyprus,0.3589053672316384
"China, Hong Kong SAR",0.3588771186440678
"China, Macao SAR",0.3588771186440678
Bhutan,0.3579590395480226
Kiribati,0.35688690476190477
South-Eastern Asia,0.3558149717514124
Democratic Republic of the Congo,0.35450847457627116
Mauritius,0.35450141242937855
Costa Rica,0.35383059210526313
Saint Vincent and the Grenadines,0.35333333333333333
Grenada,0.35312429378531074
Barbados,0.3473885542168675
Uruguay,0.3424576271186441
Greece,0.34214689265536724
Southern Asia,0.33916101694915257
Congo,0.33628102710413693
Melanesia,0.3333135593220339
United Arab Emirates,0.3324887005649717
Mozambique,0.32967514124293784
French Southern and Antarctic Territories,0.3292459970887919
Cook Islands,0.32902373887240355
French Polynesia,0.3250875706214689
Papua New Guinea,0.3215014124293785
Japan,0.32060593220338984
Gabon,0.3185868945868946
New Caledonia,0.3185127118644068
Puerto Rico,0.31584322033898304
Saint Lucia,0.3114590395480226
Tuvalu,0.310151212553495
Wake Island,0.31012903225806454
"China, Taiwan Province of",0.30387005649717513
Indonesia,0.2956963276836158
Jordan,0.2932485875706215
Zimbabwe,0.28667937853107345
Belgium-Luxembourg,0.28121794871794875
Iceland,0.27119774011299436
New Zealand,0.2690141242937853
Oman,0.2678283687943262
Argentina,0.2657867231638418
Martinique,0.2648345120226308
Montserrat,0.26229142011834317
Antigua and Barbuda,0.26229142011834317
Saint Kitts and Nevis,0.26229142011834317
Palestine,0.2612005649717514
Cocos (Keeling) Islands,0.26064922206506363
Egypt,0.26051694915254237
Anguilla,0.2586850282485876
Guadeloupe,0.2584152542372881
Dominica,0.2579588652482269
Israel,0.2577005649717514
United States Virgin Islands,0.2565268361581921
Rwanda,0.2554304932735426
Tokelau,0.24962208067940553
British Virgin Islands,0.24954237288135592
Micronesia,0.2410084745762712
Norfolk Island,0.23234961832061068
Burundi,0.22832062780269058
Bangladesh,0.227680790960452
Micronesia (Federated States of),0.22220689655172415
India,0.2158997175141243
Nepal,0.2030536723163842
Pakistan,0.1994406779661017
USSR,0.19338978494623657
Chile,0.18474576271186444
South Georgia and the South Sandwich Islands,0.16095744680851062
Niue,0.16065384615384615
Antarctica,0.1590141242937853
Saint Pierre and Miquelon,0.15880367231638418
Singapore,0.15336498516320474
Yemen,0.1530530303030303
Ethiopia PDR,0.14904761904761904
Czechoslovakia,0.13654166666666664
Marshall Islands,0.10073275862068966
Pacific Islands Trust Territory,0.030488764044943818
Falkland Islands (Malvinas),0.023366141732283463
Yugoslav SFR,0.019088709677419356
Midway Island,0.010874345549738224
Pitcairn Islands,-0.018991166077738517
Nauru,-0.11503070175438597
